,ssec,wti,ine
2018/10/2,7.51E-03,2.29E-02,2.24E-02
2018/10/3,9.00E-03,2.13E-02,2.32E-02
2018/10/4,1.16E-02,2.05E-02,2.41E-02
2018/10/5,1.48E-02,2.13E-02,2.49E-02
2018/10/6,1.82E-02,1.99E-02,2.57E-02
2018/10/7,2.18E-02,1.86E-02,2.66E-02
2018/10/8,2.55E-02,1.75E-02,2.74E-02
2018/10/9,2.93E-02,1.66E-02,2.83E-02
2018/10/10,1.88E-02,1.60E-02,3.42E-02
2018/10/11,1.27E-02,1.97E-02,2.97E-02
2018/10/12,3.55E-02,2.20E-02,2.96E-02
2018/10/13,2.31E-02,2.07E-02,2.41E-02
2018/10/14,1.52E-02,1.95E-02,1.96E-02
2018/10/15,0.011599314,0.018475517,0.016476671
2018/10/16,1.30E-02,1.75E-02,1.55E-02
2018/10/17,1.10E-02,1.68E-02,1.85E-02
2018/10/18,9.40E-03,1.91E-02,1.59E-02
2018/10/19,0.020557206,0.018903163,0.015195188
2018/10/20,2.12E-02,1.84E-02,1.49E-02
2018/10/21,2.39E-02,1.78E-02,1.45E-02
2018/10/22,2.74E-02,1.70E-02,1.50E-02
2018/10/23,3.11E-02,1.62E-02,1.64E-02
2018/10/24,2.46E-02,2.45E-02,1.55E-02
2018/10/25,1.61E-02,2.26E-02,2.68E-02
2018/10/26,1.12E-02,2.10E-02,2.00E-02
2018/10/27,8.77E-03,1.97E-02,1.66E-02
2018/10/28,9.34E-03,1.84E-02,1.52E-02
2018/10/29,1.25E-02,1.76E-02,1.50E-02
2018/10/30,1.69E-02,1.75E-02,1.52E-02
2018/10/31,1.33E-02,1.71E-02,1.48E-02
2018/11/1,1.30E-02,1.81E-02,1.53E-02
2018/11/2,9.60E-03,2.03E-02,1.84E-02
2018/11/3,1.87E-02,1.97E-02,2.76E-02
2018/11/4,1.64E-02,1.90E-02,2.67E-02
2018/11/5,1.20E-02,1.82E-02,2.34E-02
2018/11/6,9.45E-03,1.74E-02,1.97E-02
2018/11/7,7.99E-03,1.86E-02,1.64E-02
2018/11/8,8.42E-03,1.79E-02,2.40E-02
2018/11/9,7.52E-03,1.79E-02,1.85E-02
2018/11/10,1.14E-02,1.78E-02,1.89E-02
2018/11/11,9.40E-03,1.80E-02,1.75E-02
2018/11/12,8.12E-03,1.87E-02,1.59E-02
2018/11/13,1.06E-02,1.97E-02,1.49E-02
2018/11/14,1.02E-02,3.63E-02,1.76E-02
2018/11/15,9.87E-03,3.30E-02,3.74E-02
2018/11/16,1.18E-02,3.04E-02,3.24E-02
2018/11/17,9.35E-03,2.81E-02,2.34E-02
2018/11/18,8.62E-03,2.61E-02,1.86E-02
2018/11/19,8.85E-03,2.45E-02,1.62E-02
2018/11/20,9.54E-03,2.31E-02,1.50E-02
2018/11/21,1.59E-02,3.43E-02,1.50E-02
2018/11/22,1.12E-02,3.25E-02,3.18E-02
2018/11/23,8.78E-03,3.02E-02,2.58E-02
2018/11/24,1.78E-02,2.77E-02,2.86E-02
2018/11/25,1.64E-02,2.55E-02,3.27E-02
2018/11/26,1.28E-02,2.41E-02,3.73E-02
2018/11/27,9.54E-03,2.42E-02,4.21E-02
2018/11/28,7.90E-03,2.27E-02,2.79E-02
2018/11/29,9.80E-03,2.32E-02,2.17E-02
2018/11/30,1.17E-02,2.28E-02,2.81E-02
2018/12/1,1.03E-02,2.19E-02,2.03E-02
2018/12/2,1.21E-02,2.05E-02,1.94E-02
2018/12/3,1.55E-02,2.13E-02,2.45E-02
2018/12/4,1.95E-02,2.61E-02,3.26E-02
2018/12/5,1.34E-02,2.42E-02,3.34E-02
2018/12/6,1.05E-02,2.25E-02,2.36E-02
2018/12/7,1.37E-02,2.27E-02,2.08E-02
2018/12/8,9.92E-03,2.16E-02,3.13E-02
2018/12/9,8.23E-03,2.02E-02,2.38E-02
2018/12/10,8.08E-03,2.03E-02,1.97E-02
2018/12/11,8.95E-03,2.35E-02,2.95E-02
2018/12/12,7.98E-03,2.25E-02,2.72E-02
2018/12/13,7.48E-03,2.12E-02,2.05E-02
2018/12/14,1.05E-02,2.50E-02,1.69E-02
2018/12/15,1.29E-02,2.55E-02,1.61E-02
2018/12/16,1.14E-02,2.63E-02,1.59E-02
2018/12/17,9.13E-03,2.73E-02,1.60E-02
2018/12/18,7.78E-03,2.85E-02,1.62E-02
2018/12/19,8.86E-03,4.11E-02,2.85E-02
2018/12/20,1.01E-02,3.79E-02,3.09E-02
2018/12/21,8.83E-03,3.81E-02,2.72E-02
2018/12/22,9.11E-03,3.48E-02,2.70E-02
2018/12/23,8.08E-03,3.36E-02,2.57E-02
2018/12/24,7.25E-03,3.58E-02,2.42E-02
2018/12/25,7.43E-03,4.14E-02,2.26E-02
2018/12/26,8.97E-03,3.81E-02,5.04E-02
2018/12/27,7.82E-03,5.18E-02,4.03E-02
2018/12/28,8.14E-03,4.73E-02,5.63E-02
2018/12/29,7.79E-03,4.30E-02,3.72E-02
2018/12/30,0.00716904,0.039243635,0.025751428
2018/12/31,7.00E-03,3.59E-02,1.92E-02
2019/1/1,0.007577382,0.032906089,0.016485396
2019/1/2,8.84E-03,3.06E-02,1.70E-02
2019/1/3,0.010564884,0.029160542,0.019800989
2019/1/4,0.008372478,0.026818264,0.025545503
2019/1/5,0.014898989,0.026757045,0.030758199
2019/1/6,0.014660157,0.026259647,0.03220477
2019/1/7,0.012785803,0.025446688,0.032513713
2019/1/8,0.010525089,0.02440926,0.032438468
2019/1/9,0.008515896,0.024876604,0.022442007
2019/1/10,0.008692922,0.029937319,0.021269759
2019/1/11,0.007864914,0.027385931,0.0229319
2019/1/12,0.008565336,0.026047541,0.019299794
2019/1/13,0.007633276,0.024873727,0.016250141
2019/1/14,7.22E-03,2.38E-02,1.66E-02
2019/1/15,0.008255227,0.022932018,0.020794563
2019/1/16,0.011329551,0.024302116,0.017755355
2019/1/17,0.00873749,0.022504951,0.019049486
2019/1/18,0.007996943,0.020924575,0.019004895
2019/1/19,0.011538205,0.024510258,0.022641228
2019/1/20,0.011391946,0.024414587,0.025273196
2019/1/21,1.03E-02,2.28E-02,2.77E-02
2019/1/22,0.008969211,0.021262749,0.030014618
2019/1/23,0.010755727,0.021293558,0.021323146
2019/1/24,0.008466143,0.020316918,0.01953979
2019/1/25,0.007871342,0.019468425,0.016898395
2019/1/26,0.007577509,0.018537407,0.015635606
2019/1/27,0.00715623,0.01756596,0.014810294
2019/1/28,0.006877615,0.018023175,0.015178098
